,s,eta_consumer,C0-P0_estimated_cost,C0-P0_risk_group,C0-P0_price,C0-P0_coverage,C0-P0_ce_outside,ce_no_insurance,C0-P0_welfare,C0-PA_estimated_cost,C0-PA_risk_group,C0-PA_price,C0-PA_coverage,C0-PA_ce_outside,C0-PA_welfare,C0-POB_estimated_cost,C0-POB_risk_group,C0-POB_price,C0-POB_coverage,C0-POB_ce_outside,C0-POB_welfare,C0-PDP_estimated_cost,C0-PDP_risk_group,C0-PDP_price,C0-PDP_coverage,C0-PDP_ce_outside,C0-PDP_welfare,C0-PAF_estimated_cost,C0-PAF_risk_group,C0-PAF_price,C0-PAF_coverage,C0-PAF_ce_outside,C0-PAF_welfare
9125,1,180.245555318742,418.02554,0,558.57855,0.72557116,-34133.32,-33953.098,-34106.125,416.57422,0,403.19656,0.9932518,-34133.32,-33941.758,405.62903,0,564.79913,0.69232434,-34133.32,-34111.68,415.12384,0,586.69025,0.5605329,-34133.32,-34128.066,407.09378,0,600.58,0.47069907,-34133.32,-34135.445
9136,1,177.41138635841156,260.6595,1,405.6813,0.7330611,-31779.492,-31602.096,-31750.842,260.08853,1,585.2661,0.025530858,-31779.492,-31783.08,255.63142,1,421.3636,0.64681304,-31779.492,-31764.355,257.29907,1,432.97775,0.5756269,-31779.492,-31772.707,266.43097,1,411.2109,0.70422226,-31779.492,-31755.857
9155,0,177.3771665692995,463.96945,0,617.8671,0.74923813,-39120.63,-38943.273,-39088.996,481.40796,0,746.6031,0.095643386,-39120.63,-39128.902,467.0655,0,623.5479,0.72055686,-39120.63,-39094.305,456.97662,0,602.41797,0.816812,-39120.63,-39073.52,487.42856,0,576.3983,0.8973857,-39120.63,-39045.527
9168,0,167.30618718773417,448.35867,0,572.16376,0.68761176,-41766.594,-41599.3,-41745.62,467.40616,0,849.7077,0.0016402666,-41766.594,-41767.0,441.99234,0,599.57166,0.51999074,-41766.594,-41764.984,447.78702,0,557.32196,0.76361156,-41766.594,-41731.973,430.06918,0,530.7582,0.86517096,-41766.594,-41704.387
9169,0,181.99967231042132,504.13437,0,681.39844,0.7826661,-38842.86,-38660.887,-38804.25,505.27954,0,815.1111,0.10014437,-38842.86,-38851.31,510.36563,0,664.95374,0.8465792,-38842.86,-38787.18,527.3696,0,672.8539,0.8180638,-38842.86,-38795.508,504.11072,0,632.111,0.9282326,-38842.86,-38751.32
9174,0,171.618236605633,286.87598,1,431.73688,0.7322919,-38931.277,-38759.676,-38902.715,296.6465,1,571.83203,0.068303764,-38931.277,-38938.184,301.78494,1,465.498,0.5337644,-38931.277,-38928.48,292.26492,1,419.23566,0.7906093,-38931.277,-38890.56,278.9388,1,427.75586,0.75195014,-38931.277,-38898.953
9179,0,260.4000596188383,44.551014,3,254.19308,0.81392896,-48827.94,-48567.543,-48781.113,47.06274,3,229.42157,0.8919264,-48827.94,-48754.535,44.370293,3,219.34464,0.91441447,-48827.94,-48743.465,47.479427,3,242.02896,0.8566175,-48827.94,-48768.24,46.297718,3,250.6253,0.8273811,-48827.94,-48777.39
9194,0,162.69183305719545,351.03528,0,482.1797,0.7048028,-37620.27,-37457.594,-37596.535,358.05365,0,448.95013,0.8492173,-37620.27,-37563.445,347.1945,0,508.92096,0.5447416,-37620.27,-37616.484,347.37515,0,466.91556,0.7798256,-37620.27,-37582.1,346.18472,0,449.1733,0.8484672,-37620.27,-37563.688
9204,0,311.81027964243515,305.99194,1,555.8926,0.844998,-45743.844,-45432.047,-45688.37,312.38257,1,427.02756,0.9934257,-45743.844,-45550.613,317.8548,1,480.8648,0.97420126,-45743.844,-45606.797,324.6875,1,546.10596,0.8753043,-45743.844,-45677.812,328.16092,1,557.68304,0.8388521,-45743.844,-45690.277
9218,1,264.7584996217334,294.2744,1,496.7032,0.8087037,-39755.81,-39491.062,-39710.69,285.82208,1,411.18195,0.9746141,-39755.81,-39618.09,289.24136,1,453.50317,0.92803013,-39755.81,-39663.938,282.19467,1,517.2567,0.71318525,-39755.81,-39730.67,300.2309,1,501.55957,0.78855664,-39755.81,-39715.645
9219,0,194.3033733440024,141.64659,2,300.41406,0.7548681,-40303.152,-40108.86,-40270.13,142.43837,2,522.48883,0.0099812895,-40303.152,-40304.934,141.22728,2,311.96436,0.69589514,-40303.152,-40280.746,150.26276,2,289.0055,0.8049917,-40303.152,-40258.75,140.11119,2,295.42593,0.7777898,-40303.152,-40265.242
9232,0,246.66417158164995,134.75323,2,324.74615,0.7949822,-48730.984,-48484.324,-48689.043,132.38773,2,375.24182,0.5145747,-48730.984,-48729.816,140.39308,2,311.16666,0.84603417,-48730.984,-48674.86,129.61697,2,310.79053,0.8472857,-48730.984,-48674.457,128.794,2,319.152,0.81740713,-48730.984,-48683.285
9234,0,265.59824892631866,37.64824,3,245.05469,0.8118762,-48818.29,-48552.695,-48772.0,35.36432,3,162.86548,0.97253656,-48818.29,-48682.91,36.146942,3,211.48105,0.91072124,-48818.29,-48735.79,34.92453,3,231.87222,0.8581601,-48818.29,-48758.047,33.029606,3,240.33556,0.829671,-48818.29,-48767.07
9236,0,255.20769954180201,49.598553,3,250.98639,0.806287,-48830.957,-48575.75,-48786.125,52.98552,3,257.69147,0.7780172,-48830.957,-48792.918,54.137615,3,228.68466,0.88053846,-48830.957,-48762.363,49.66746,3,238.23099,0.85231954,-48830.957,-48772.695,55.02604,3,248.0924,0.817603,-48830.957,-48783.133
9237,0,192.00458631911107,174.59915,1,319.33594,0.7311619,-41194.992,-41002.992,-41166.547,174.02345,1,495.2294,0.028479856,-41194.992,-41198.895,172.26482,2,341.64407,0.60519946,-41194.992,-41184.94,169.83922,2,304.41962,0.79961276,-41194.992,-41151.953,169.3027,2,313.22238,0.7609316,-41194.992,-41160.727
9240,0,182.1590699795344,419.9685,0,582.2726,0.7616604,-43131.066,-42948.926,-43096.85,440.90576,0,515.61273,0.9470339,-43131.066,-43025.4,454.9274,0,611.9408,0.59741294,-43131.066,-43121.953,442.5206,0,573.8713,0.79881865,-43131.066,-43088.477,436.7573,0,543.7091,0.8964379,-43131.066,-43056.234
9241,0,364.4938605913621,16.96793,3,310.47116,0.867584,-38246.74,-37882.242,-38183.367,18.848194,3,149.84782,0.99752927,-38246.74,-38013.65,17.60298,3,193.74834,0.9924314,-38246.74,-38058.41,21.259212,3,298.91006,0.8981642,-38246.74,-38170.75,19.291574,3,307.10538,0.8772066,-38246.74,-38179.72
9245,0,171.5202982065195,505.83456,0,651.51447,0.735028,-41854.81,-41683.31,-41825.875,506.64417,0,511.25363,0.99050653,-41854.81,-41676.89,494.48492,0,649.76776,0.74368966,-41854.81,-41824.24,499.64755,0,635.91376,0.80601656,-41854.81,-41810.508,480.77222,0,603.3056,0.90620506,-41854.81,-41775.457
9247,0,164.47426315122502,863.0959,0,978.7322,0.6699245,-36755.76,-36591.34,-36737.668,815.2856,0,767.0409,0.9980504,-36755.76,-36517.523,847.8335,0,987.6582,0.6162793,-36755.76,-36744.617,796.62317,0,946.11346,0.82662845,-36755.76,-36706.477,832.6334,0,894.01666,0.9490586,-36755.76,-36649.727
9258,1,265.91050632148824,81.11473,3,292.49216,0.8158647,-39877.766,-39611.86,-39830.523,76.01691,3,246.99947,0.9344134,-39877.766,-39781.156,82.433624,3,255.7428,0.91924405,-39877.766,-39790.76,80.6196,3,315.42737,0.7107775,-39877.766,-39852.914,85.817,2,299.9213,0.78543234,-39877.766,-39838.125
9294,1,188.621256779731,83.67013,3,238.30858,0.7485195,-28925.834,-28737.219,-28894.105,83.85994,2,237.55843,0.75213206,-28925.834,-28893.393,99.93462,2,272.47815,0.5526863,-28925.834,-28921.295,85.55062,2,266.3646,0.59120995,-28925.834,-28917.363,92.96924,2,247.73364,0.7002124,-28925.834,-28902.754
9304,0,208.80917560446116,294.02927,1,444.49606,0.7420013,-44460.254,-44251.453,-44429.84,274.1556,1,462.0069,0.646886,-44460.254,-44445.062,272.58344,1,437.57397,0.774652,-44460.254,-44423.14,273.6625,1,426.08185,0.8221064,-44460.254,-44411.418,275.8811,1,438.17422,0.77192914,-44460.254,-44423.734
9319,0,166.4648140475895,423.65414,0,562.0263,0.7205519,-40413.555,-40247.113,-40387.176,408.55917,0,713.9604,0.047905184,-40413.555,-40419.08,407.44406,0,566.5348,0.696513,-40413.555,-40391.195,398.72028,0,541.8022,0.8130754,-40413.555,-40367.344,413.74576,0,522.71515,0.8768962,-40413.555,-40346.984
9343,1,220.57735177614532,176.65645,1,350.67966,0.7767811,-37763.25,-37542.68,-37725.645,173.8903,1,381.98044,0.60846347,-37763.25,-37752.84,173.5324,2,342.8562,0.8097233,-37763.25,-37717.72,176.73279,1,375.99246,0.6445138,-37763.25,-37748.367,174.39833,2,357.09512,0.7468309,-37763.25,-37731.883
9356,0,192.36563568797334,214.22168,1,378.39838,0.76357466,-37572.984,-37380.633,-37538.26,212.20268,1,360.83243,0.8354486,-37572.984,-37520.316,208.26323,1,376.06763,0.7742384,-37572.984,-37535.973,217.03592,1,365.6442,0.8177031,-37572.984,-37525.367,220.29947,1,377.97427,0.76553965,-37572.984,-37537.844
9367,1,185.12165935948317,670.1475,0,830.9219,0.7627428,-30338.953,-30153.875,-30305.008,668.45844,0,1015.2291,0.02461455,-30338.953,-30342.393,683.04254,0,830.0765,0.76680666,-30338.953,-30304.166,652.6464,0,851.4023,0.65268946,-30338.953,-30323.266,689.599,0,874.1786,0.5082142,-30338.953,-30338.316
9369,0,224.93428057336095,316.47382,1,493.67966,0.7810333,-47403.605,-47178.68,-47365.09,306.35248,1,558.98175,0.39837468,-47403.605,-47409.97,323.31662,1,486.0877,0.81263596,-47403.605,-47357.36,313.74847,1,479.79874,0.8360715,-47403.605,-47350.766,302.16037,1,488.8681,0.80147964,-47403.605,-47360.223
9372,0,191.2798673084889,452.5856,0,603.76166,0.7444688,-40604.035,-40412.773,-40573.3,445.06433,0,796.59607,0.019178316,-40604.035,-40606.94,448.57172,0,605.86316,0.73394394,-40604.035,-40575.28,470.76212,0,594.33295,0.7880454,-40604.035,-40564.074,443.98102,0,561.22235,0.89751667,-40604.035,-40528.805
9381,0,188.23307506198284,225.82729,1,367.4258,0.7255869,-40364.18,-40175.953,-40336.78,231.08324,1,402.93323,0.514512,-40364.18,-40363.02,228.01366,1,394.95404,0.5655204,-40364.18,-40358.39,232.11711,1,355.17014,0.78375286,-40364.18,-40324.98,231.53316,1,367.02475,0.7276204,-40364.18,-40336.41
9383,0,222.44107132349052,75.00726,3,253.80275,0.78188854,-46164.65,-45942.207,-46125.742,79.13002,3,266.6906,0.72035134,-46164.65,-46138.086,73.86123,3,247.54541,0.80800545,-46164.65,-46119.387,78.07234,3,241.38583,0.8313235,-46164.65,-46112.96,73.45614,3,249.44914,0.80032426,-46164.65,-46121.336
9398,0,185.6230265977827,121.23536,2,264.54523,0.72848463,-34441.69,-34256.07,-34413.73,126.06578,2,301.03278,0.51219994,-34441.69,-34440.72,120.68006,2,292.31604,0.5678446,-34441.69,-34435.664,122.19518,2,251.08655,0.79129463,-34441.69,-34400.67,120.76934,2,259.6707,0.7525431,-34441.69,-34409.137
9402,0,180.44903618164832,82.26035,3,229.1914,0.7346561,-40083.793,-39903.348,-40054.64,77.37095,3,229.0224,0.7354936,-40083.793,-40054.48,85.609695,2,258.7799,0.5644161,-40083.793,-40078.094,87.57459,2,216.91452,0.7913567,-40083.793,-40042.676,81.76172,3,224.81227,0.75595343,-40083.793,-40050.484
9403,1,282.7618686171779,50.524826,3,274.60895,0.8262429,-39073.74,-38790.977,-39023.617,49.692715,3,218.3489,0.9527141,-39073.74,-38962.34,57.972374,3,232.35167,0.9336328,-39073.74,-38977.65,48.896614,3,296.79514,0.72893876,-39073.74,-39045.688,49.45389,3,280.09903,0.80506665,-39073.74,-39029.316
9404,0,187.70938304982954,435.47055,0,590.09863,0.75026643,-38744.676,-38556.99,-38712.824,426.39713,0,679.19586,0.22970897,-38744.676,-38755.39,415.72424,0,574.4527,0.81834793,-38744.676,-38697.13,433.2005,0,575.77356,0.813167,-38744.676,-38698.516,425.59784,0,548.7297,0.8975938,-38744.676,-38669.438
9405,1,239.97311132139848,32.01333,3,221.69963,0.7944415,-39328.684,-39088.71,-39286.836,37.37236,3,157.98889,0.9518717,-39328.684,-39217.9,32.451874,3,207.94763,0.8461324,-39328.684,-39272.477,34.525913,3,246.63672,0.67087454,-39328.684,-39310.074,32.02011,3,227.60144,0.76863694,-39328.684,-39292.727
9412,1,180.60883967704152,192.21153,1,331.8984,0.7220312,-33906.19,-33725.594,-33879.445,189.25946,1,441.8926,0.13204627,-33906.19,-33915.824,190.23506,1,358.82816,0.56479037,-33906.19,-33900.48,194.26529,1,626.3974,0.00127552,-33906.19,-33906.52,203.83107,1,338.99493,0.6838741,-33906.19,-33885.715
9428,0,180.52360145067632,222.0771,1,356.52344,0.7111675,-36555.316,-36374.8,-36530.445,198.50554,1,376.02444,0.5983823,-36555.316,-36546.062,208.435,1,376.23187,0.5971138,-36555.316,-36546.203,211.46098,1,339.73343,0.7914083,-36555.316,-36514.348,204.0111,1,349.6413,0.7461904,-36555.316,-36524.082
9435,0,211.16343472222482,70.75193,3,231.98584,0.7580745,-44251.285,-44040.125,-44217.523,69.05627,3,252.42218,0.6497859,-44251.285,-44235.63,65.126854,3,239.19315,0.72259414,-44251.285,-44224.316,66.34698,3,217.6848,0.8188615,-44251.285,-44203.113,63.76873,3,226.25046,0.7840047,-44251.285,-44211.875
9436,1,192.30854269892936,92.49571,2,253.71094,0.7587328,-31349.11,-31156.807,-31315.318,83.47798,2,228.80043,0.85644317,-31349.11,-31289.629,98.37105,2,270.98297,0.66854024,-31349.11,-31330.883,92.90524,2,280.43164,0.61265564,-31349.11,-31338.193,88.28197,2,259.81094,0.7288762,-31349.11,-31321.094
9498,1,275.09519570320913,33.074417,3,249.92969,0.8203226,-39047.516,-38772.418,-38999.016,35.29886,3,164.00443,0.97637427,-39047.516,-38905.9,40.07745,3,215.23961,0.9174784,-39047.516,-38961.445,33.958244,3,272.9528,0.71656674,-39047.516,-39021.645,33.526722,3,255.73158,0.7973198,-39047.516,-39005.004
